exchange,shortname,symbol,longname,sector,industry,origin,type,currency
SHH,BANK OF HANGZHOU CO LTD,600926.SS,"Bank of Hangzhou Co., Ltd.",Financial Services,Banks—Regional,yfinance,stock,CNY
SHH,CHINA RAILWAY GROUP LIMITED,601390.SS,China Railway Group Limited,Industrials,Engineering & Construction,yfinance,stock,CNY
SHH,AIR CHINA LTD,601111.SS,Air China Limited,Industrials,Airlines,yfinance,stock,CNY
SHH,BANK OF BEIJING CO. LTD.,601169.SS,"Bank of Beijing Co., Ltd.",Financial Services,Banks—Regional,yfinance,stock,CNY
SHH,AECC AVIATION POWER CO LTD,600893.SS,"AECC Aviation Power Co.,Ltd",Industrials,Aerospace & Defense,yfinance,stock,CNY
SHH,PIOTECH INC,688072.SS,Piotech Inc.,Technology,Semiconductor Equipment & Materials,yfinance,stock,CNY
SHH,CHINA SECURITIES CO.  LTD.,601066.SS,"CSC Financial Co., Ltd.",Financial Services,Capital Markets,yfinance,stock,CNY
SHH,ANHUI JIANGHUAI AUTOMOBILE GROU,600418.SS,"Anhui Jianghuai Automobile Group Corp.,Ltd.",Consumer Cyclical,Auto Manufacturers,yfinance,stock,CNY
SHH,ZHANGZHOU PIENTZEHUANG PHARMACE,600436.SS,"Zhangzhou Pientzehuang Pharmaceutical., Ltd",Healthcare,Drug Manufacturers—General,yfinance,stock,CNY
SHH,SDIC POWER HOLDINGS CO LTD,600886.SS,"SDIC Power Holdings Co., Ltd",Utilities,Utilities—Renewable,yfinance,stock,CNY
SHH,ZHEJIANG JUHUA CO LTD.,600160.SS,"Zhejiang Juhua Co., Ltd.",Basic Materials,Chemicals,yfinance,stock,CNY
SHH,CHINA INTL CAPITAL CORPORATION ,601995.SS,China International Capital Corporation Limited,Financial Services,Capital Markets,yfinance,stock,CNY
SHH,DAQIN RAILWAY CO LTD,601006.SS,"Daqin Railway Co., Ltd.",Industrials,Railroads,yfinance,stock,CNY
SHH,CHINA EASTERN AIRLINES CORP,600115.SS,China Eastern Airlines Corporation Limited,Industrials,Airlines,yfinance,stock,CNY
SHH,VERISILICON MICROELECTRONICS (S,688521.SS,"VeriSilicon Microelectronics (Shanghai) Co., Ltd.",Technology,Semiconductors,yfinance,stock,CNY
SHH,ZHEJIANG CHINA COMMODITIES CITY,600415.SS,"Zhejiang China Commodities City Group Co., Ltd.",Real Estate,Real Estate—Diversified,yfinance,stock,CNY
SHH,360 SECURITY TECHN,601360.SS,360 Security Technology Inc.,Technology,Software—Infrastructure,yfinance,stock,CNY
SHH,CHINA MERCHANTS ENERGY SHIPPING,601872.SS,"China Merchants Energy Shipping Co., Ltd.",Energy,Oil & Gas Midstream,yfinance,stock,CNY
SHH,POWER CONSTRUCTION CORP OF CHIN,601669.SS,"Power Construction Corporation of China, Ltd",Industrials,Engineering & Construction,yfinance,stock,CNY
SHH,THE PEOPLE S INSURANCE COMPANY ,601319.SS,The People's Insurance Company (Group) of China Limited,Financial Services,Insurance—Property & Casualty,yfinance,stock,CNY
SHH,GUANGDONG HEC TECHNOLOGY HOLDIN,600673.SS,"Guangdong HEC Technology Holding Co., Ltd",Technology,Electronic Components,yfinance,stock,CNY
SHH,TONGWEI CO,600438.SS,"Tongwei Co.,Ltd",Technology,Solar,yfinance,stock,CNY
SHH,GD POWER DEVELOPMENT CO,600795.SS,"GD Power Development Co.,Ltd",Utilities,Utilities—Renewable,yfinance,stock,CNY
SHH,XIAMEN TUNGSTEN,600549.SS,"Xiamen Tungsten Co.,Ltd.",Basic Materials,Other Industrial Metals & Mining,yfinance,stock,CNY
SHH,HUAXIA BANK CO,600015.SS,"Hua Xia Bank Co., Limited",Financial Services,Banks—Regional,yfinance,stock,CNY
SHH,SHANGHAI RURAL COMMERCIAL BK CO,601825.SS,"Shanghai Rural Commercial Bank Co., Ltd.",Financial Services,Banks—Regional,yfinance,stock,CNY
SHH,CHINA SOUTHERN AIRLINES COMPANY,600029.SS,China Southern Airlines Company Limited,Industrials,Airlines,yfinance,stock,CNY
SHH,ANHUI CONCH CEMENT,600585.SS,Anhui Conch Cement Company Limited,Basic Materials,Building Materials,yfinance,stock,CNY
SHH,CHINA CITIC BANK CORPORATION LT,601998.SS,China CITIC Bank Corporation Limited,Financial Services,Banks—Regional,yfinance,stock,CNY
SHH,CHINA RESOURCES MICROELECTRONIC,688396.SS,China Resources Microelectronics Limited,Technology,Semiconductors,yfinance,stock,CNY
SHH,JCET GROUP CO LTD,600584.SS,"JCET Group Co., Ltd.",Technology,Semiconductors,yfinance,stock,CNY
SHH,CHINA ENERGY ENGINEERING CORP L,601868.SS,China Energy Engineering Corporation Limited,Industrials,Engineering & Construction,yfinance,stock,CNY
SHH,ORIENT SECURITIES COMPANY LIMIT,600958.SS,Orient Securities Company Limited,Financial Services,Capital Markets,yfinance,stock,CNY
SHH,NINGBO DEYE TECHNOLOGY CO LTD,605117.SS,"Ningbo Deye Technology Group Co., Ltd.",Consumer Cyclical,"Furnishings, Fixtures & Appliances",yfinance,stock,CNY
SHH,DONGFANG ELECTRIC CORPORATION L,600875.SS,Dongfang Electric Corporation Limited,Industrials,Specialty Industrial Machinery,yfinance,stock,CNY
SHH,HUAQIN TECHNOLOGY CO LTD,603296.SS,"Huaqin Technology Co., Ltd.",Technology,Consumer Electronics,yfinance,stock,CNY
SHH,FUZHOU ROCKCHIP ELECTRONICS CO ,603893.SS,"Rockchip Electronics Co., Ltd.",Technology,Semiconductors,yfinance,stock,CNY
SHH,NEXCHIP SEMICONDUCTOR CORPORATI,688249.SS,Nexchip Semiconductor Corporation,Technology,Semiconductors,yfinance,stock,CNY
SHH,WESTERN MINING CO. LTD.,601168.SS,"Western Mining Co.,Ltd.",Basic Materials,Other Industrial Metals & Mining,yfinance,stock,CNY
SHH,POLY DEVELOPMENTS AND HOLDINGS ,600048.SS,"Poly Developments and Holdings Group Co., Ltd.",Real Estate,Real Estate—Development,yfinance,stock,CNY
SHH,YANKUANG ENERGY GROUP COMPANY L,600188.SS,Yankuang Energy Group Company Limited,Energy,Thermal Coal,yfinance,stock,CNY
SHH,CHINA JUSHI CO LTD,600176.SS,"China Jushi Co., Ltd.",Basic Materials,Building Materials,yfinance,stock,CNY
SHH,SHENZHEN TRANSSION HOLDINGS CO ,688036.SS,"Shenzhen Transsion Holdings Co., Ltd.",Technology,Consumer Electronics,yfinance,stock,CNY
SHH,SANAN OPTOELECTRONICS CO. LTD.,600703.SS,"Sanan Optoelectronics Co.,Ltd",Technology,Semiconductors,yfinance,stock,CNY
SHH,SICHUAN ROAD&BRIDGE GROUP CO LT,600039.SS,"Sichuan Road & Bridge Group Co.,Ltd",Industrials,Engineering & Construction,yfinance,stock,CNY
SHH,SHANDONG HUALU-HENGSHENG CHEMIC,600426.SS,"Shandong Hualu-Hengsheng Chemical Co., Ltd.",Basic Materials,Chemicals,yfinance,stock,CNY
SHH,HAINAN AIRLINES HOLDING CO LTD,600221.SS,"Hainan Airlines Holding Co., Ltd.",Industrials,Airlines,yfinance,stock,CNY
SHH,WOLONG ELECTRIC GROUP CO LTD,600580.SS,"Wolong Electric Group Co.,Ltd.",Industrials,Electrical Equipment & Parts,yfinance,stock,CNY
SHH,YUTONG BUS CO LTD,600066.SS,"Yutong Bus Co.,Ltd.",Industrials,Farm & Heavy Construction Machinery,yfinance,stock,CNY
SHH,SHENZHEN KINWONG ELECTRONIC CO ,603228.SS,"Shenzhen Kinwong Electronic Co., Ltd.",Technology,Electronic Components,yfinance,stock,CNY
SHH,EVERBRIGHT SECURITIES COMPANY L,601788.SS,Everbright Securities Company Limited,Financial Services,Capital Markets,yfinance,stock,CNY
SHH,CHINA XD ELECTRIC CO LTD,601179.SS,"China XD Electric Co., Ltd",Industrials,Electrical Equipment & Parts,yfinance,stock,CNY
SHH,SHANGHAI ZHANGJIANG HI-TECH PAR,600895.SS,"Shanghai Zhangjiang Hi-Tech Park Development Co., Ltd.",Real Estate,Real Estate—Development,yfinance,stock,CNY
